Nombre;Tipo;Valoración;Localización;Ciudad;Distancia;Cercanías;Descripción
Tribu Malasaña;Hotel;4 de 5;Centro de Madrid;Madrid;a 1 km del centro;;Un refugio en el centro de Madrid El Tribu Malasaña se encuentra en el centro del barrio de Malasaña, uno de los barrios más animados y auténticos de Madrid, y ofrece una experiencia única en la...
Hotel BESTPRICE Alegría;Hotel;1 de 5;San Blas;Madrid;a 6,7 km del centro;a 6,7 km del centro;Hotel BESTPRICE Alegría está muy bien situado en el barrio de San Blas, Madrid, a 4,2 km de IFEMA, a 6,9 km de Estadio Santiago Bernabéu y a 7 km de Museo Thyssen-Bornemisza.
Agumar;Hotel;4 de 5;Retiro;Madrid;a 2 km del centro;;El Hotel Agumar está bien situado enfrente de la céntrica estación madrileña de Atocha, a menos de 10 minutos a pie de los Museos del Prado, Thyssen y Reina Sofía.
Infanta Mercedes;Hotel;2 de 5;Tetuán;Madrid;a 4,6 km del centro;;Este encantador hotel de Madrid se encuentra en la zona de Cuzco, un importante distrito comercial de la capital.
Apartamentos Juan Bravo;Hotel;3 de 5;Salamanca;Madrid;a 3 km del centro;;Los Juan Bravo Apartamentos están situados en el exclusivo barrio madrileño de Salamanca, frente a la estación de metro Diego de León. Ofrecen piscina comunitaria de temporada, abierta en verano.
Malasaña Dreams S,L;Hotel;0 de 5;Centro de Madrid;Madrid;a 1,4 km del centro;;Malasaña Dreams S, L ofrece alojamiento bien ubicado en Madrid y dispone de centro de fitness, wifi gratis y salón de uso común.
H-A Aparthotel Hotel Quo;Hotel;3 de 5;Salamanca;Madrid;a 3,3 km del centro;;El Aparthotel Quo Eraso está ubicado en Madrid, en el barrio comercial de Salamanca, a 8 minutos pie de la plaza de toros de Las Ventas. Se proporciona WiFi gratuita.
Autentic Boutique Moncloa;Hotel;0 de 5;Chamberí;Madrid;a 2,4 km del centro;;Autentic Boutique Moncloa está muy bien situado en el barrio de Chamberí, Madrid, a 19 min a pie de Templo de Debod, a 1,9 km de Gran Vía y a 2,6 km de Estación de metro Gran Vía.
Iconic Suites;Hotel;3 de 5;Chamartín;Madrid;a 3,8 km del centro;a 3,8 km del centro;Iconic Suites está en Madrid y ofrece alojamiento con terraza y wifi gratis a 2,2 km de Estadio Santiago Bernabéu y a 4,1 km de Museo Thyssen-Bornemisza.
Hotel Nido Príncipe Pío;Hotel;3 de 5;Moncloa - Aravaca;Madrid;a 1,6 km del centro;;Hotel Nido Príncipe Pío está en Madrid, a 12 min a pie de Estación de metro Plaza de España, y dispone de alojamiento con salón de uso común, parking privado, terraza y restaurante.
Ibis Madrid Centro las Ventas;Hotel;2 de 5;Salamanca;Madrid;a 3,7 km del centro;;El Ibis Madrid Centro Las Ventas está en el barrio madrileño de Las Ventas, junto a su famosa plaza de toros. Ofrece habitaciones equipadas con aire acondicionado y conexión Wi-Fi gratuita.
Ibis Budget Madrid Centro Las Ventas;Hotel;1 de 5;Ciudad Lineal;Madrid;a 4,4 km del centro;;El Ibis Budget Madrid Centro Las Ventas ofrece conexión Wi-Fi gratuita a 750 metros de la plaza de las Ventas y de su plaza de toros.
Ibis Budget Madrid Calle 30;Hotel;1 de 5;Puente de Vallecas;Madrid;a 3,6 km del centro;a 3,6 km del centro;Ibis Budget Madrid Calle 30 se encuentra en Madrid, a 2,8 km de Museo Reina Sofía, y ofrece alojamiento con jardín, parking privado, salón de uso común y terraza.
Erase un Hotel;Hotel;3 de 5;Tetuán;Madrid;a 5,2 km del centro;;El Erase un Hotel ofrece WiFi gratis de alta velocidad y cafetería y se encuentra en el distrito financiero de Madrid, a 1,5 km del estadio Santiago Bernabéu. Hay aparcamiento privado.
Hotel Madrid Chamartín, Affiliated by Meliá;Hotel;3 de 5;Chamartín;Madrid;a 6,3 km del centro;;Hotel Madrid Chamartín, Affiliated by Meliá tiene piscina de temporada al aire libre, centro de fitness, restaurante y bar en Madrid.
Mandarin Oriental Ritz, Madrid;Hotel;5 de 5;Retiro;Madrid;a 0,9 km del centro;;El lujoso y exclusivo Mandarin Oriental Ritz, Madrid se halla en un palacio de la Belle Époque y ofrece una experiencia única.
